iter	RMSE
0	14.71686901
1	14.3588808
2	13.99840012
3	13.66581487
4	13.36827768
5	13.0484502
6	12.75318843
7	12.46509215
8	12.16221395
9	11.88756529
10	11.65206166
11	11.3939154
12	11.13774562
13	10.93383359
14	10.71727275
15	10.50732169
16	10.28942544
17	10.08975347
18	9.929928003
19	9.734926415
20	9.560673789
21	9.386819714
22	9.239613377
23	9.080920342
24	8.939087791
25	8.792526098
26	8.664907711
27	8.522549172
28	8.373198659
29	8.246085933
30	8.115520762
31	7.999760079
32	7.896917596
33	7.810010572
34	7.710509006
35	7.631014582
36	7.523614124
37	7.437995686
38	7.349679051
39	7.268908059
40	7.179498432
41	7.108900613
42	7.04629824
43	6.984240466
44	6.918804666
45	6.855560303
46	6.78573961
47	6.726953827
48	6.671332527
49	6.608346778
50	6.548225272
51	6.485076228
52	6.443852136
53	6.40299864
54	6.358752175
55	6.322312691
56	6.282056562
57	6.238492879
58	6.196113854
59	6.152429581
60	6.114677493
61	6.068645277
62	6.035919802
63	6.001479923
64	5.973277555
65	5.941574655
66	5.916084792
67	5.886183962
68	5.859134371
69	5.834229896
70	5.816603449
71	5.795371457
72	5.7744486
73	5.754402755
74	5.733467569
75	5.710809787
76	5.69500008
77	5.672151763
78	5.654388655
79	5.63334162
80	5.61766018
81	5.598205103
82	5.580555578
83	5.558428183
84	5.536668259
85	5.521323726
86	5.501195301
87	5.486198948
88	5.467671185
89	5.457554642
90	5.4499299
91	5.439733921
92	5.426089085
93	5.419922753
94	5.408143278
95	5.398939761
96	5.387163189
97	5.375413176
98	5.365325991
99	5.355108578
100	5.344182199
101	5.335174068
102	5.325890143
103	5.318322026
104	5.309873833
105	5.302394045
106	5.295449926
107	5.284351786
108	5.27428682
109	5.263991258
110	5.25733452
111	5.24810645
112	5.238646614
113	5.229913734
114	5.223354853
115	5.214908073
116	5.208540795
117	5.199025367
118	5.193431442
119	5.188366176
120	5.183296275
121	5.177363277
122	5.168708866
123	5.161230885
124	5.151806413
125	5.147474199
126	5.143241191
127	5.137760325
128	5.131911514
129	5.128066372
130	5.126152227
131	5.117834319
132	5.114337547
133	5.108949667
134	5.106856391
135	5.101249397
136	5.097510453
137	5.091810105
138	5.087829302
139	5.085174552
140	5.08168622
141	5.076614537
142	5.072895819
143	5.071873047
144	5.066202134
145	5.063083381
146	5.05994519
147	5.052678822
148	5.046736259
149	5.041690899
150	5.037205546
151	5.031137934
152	5.027967613
153	5.024149218
154	5.020451571
155	5.018637477
156	5.013698594
157	5.010426816
158	5.007076258
159	5.000608175
160	4.993424726
161	4.990330013
162	4.989379318
163	4.985502451
164	4.982340219
165	4.979653125
166	4.974936965
167	4.972758326
168	4.967921566
169	4.965835012
170	4.963186883
171	4.960272832
172	4.957331949
173	4.954795339
174	4.948333715
175	4.943701867
176	4.938227113
177	4.93465947
178	4.928597736
179	4.923554006
180	4.919754749
181	4.917515537
182	4.915538493
183	4.909726189
184	4.907788681
185	4.904941121
186	4.89835548
187	4.895293486
188	4.892091466
189	4.889858006
190	4.881441222
191	4.87570198
192	4.872148465
193	4.868455435
194	4.862945614
195	4.859090733
196	4.855907399
197	4.853686684
198	4.851371551
199	4.849030139
200	4.842302751
201	4.839321887
202	4.835737335
203	4.832311921
204	4.827865746
205	4.822766974
206	4.815712256
207	4.810443756
208	4.806759255
209	4.805252903
210	4.800611445
211	4.797825939
212	4.794710829
213	4.787440741
214	4.780193832
215	4.776379946
216	4.772613545
217	4.767957179
218	4.764201744
219	4.758023299
220	4.755447527
221	4.74945801
222	4.74590077
223	4.742701066
224	4.741456649
225	4.739553974
226	4.736264277
227	4.731955482
228	4.728776093
229	4.724973047
230	4.717055823
231	4.715032649
232	4.712533034
233	4.705874679
234	4.703769023
235	4.699631707
236	4.694206566
237	4.689163479
238	4.683717677
239	4.679571708
240	4.676542397
241	4.673442077
242	4.670548439
243	4.668520692
244	4.665431668
245	4.663707443
246	4.657701416
247	4.650243454
248	4.647987777
249	4.645582696
250	4.642727392
251	4.640323995
252	4.635855835
253	4.631706473
254	4.629866647
255	4.627969196
256	4.625277349
257	4.619530334
258	4.616918592
259	4.61211209
260	4.610187043
261	4.605702289
262	4.601862266
263	4.596811018
264	4.594465852
265	4.590963356
266	4.586697977
267	4.585105038
268	4.580778534
269	4.577437927
270	4.575516187
271	4.570762336
272	4.565807565
273	4.559894731
274	4.555377222
275	4.553660584
276	4.550508383
277	4.544037224
278	4.541855982
279	4.537354575
280	4.535027102
281	4.530872627
282	4.526861073
283	4.523405103
284	4.521810683
285	4.519340346
286	4.516387607
287	4.513091617
288	4.510556124
289	4.507329722
290	4.506059705
291	4.503602341
292	4.50223518
293	4.499933269
294	4.495819875
295	4.491607227
296	4.48932451
297	4.486625225
298	4.482353333
299	4.479860941
300	4.477671899
301	4.474696668
302	4.469191644
303	4.465347681
304	4.457815941
305	4.452334168
306	4.44876856
307	4.444806351
308	4.439383228
309	4.435813227
310	4.433720105
311	4.430485636
312	4.425585362
313	4.422363022
314	4.421427298
315	4.417680582
316	4.416453298
317	4.414977817
318	4.412327635
319	4.408188846
320	4.407032176
321	4.399961203
322	4.395746336
323	4.391056866
324	4.389256649
325	4.38511638
326	4.383426647
327	4.379013304
328	4.374601114
329	4.371383312
330	4.364943775
331	4.361637561
332	4.357720024
333	4.355136324
334	4.353428846
335	4.352724076
336	4.347715051
337	4.344203731
338	4.342118015
339	4.340597358
340	4.337897864
341	4.334530721
342	4.330927267
343	4.327652088
344	4.324610408
345	4.321424652
346	4.31549643
347	4.308647385
348	4.307448229
349	4.302713804
350	4.299999649
351	4.297663873
352	4.295847161
353	4.291202164
354	4.289389133
355	4.284954084
356	4.279370363
357	4.275773245
358	4.274506291
359	4.271518297
360	4.267626965
361	4.265118776
362	4.263595695
363	4.260913744
364	4.258660436
365	4.256868686
366	4.254489266
367	4.24745933
368	4.245416843
369	4.243027993
370	4.242122079
371	4.236382438
372	4.232058234
373	4.230225682
374	4.229298676
375	4.225954419
376	4.223446915
377	4.221691588
378	4.217322919
379	4.214940596
380	4.21114858
381	4.204125951
382	4.202736722
383	4.199120016
384	4.196592031
385	4.192353788
386	4.188761359
387	4.187200721
388	4.184136834
389	4.18256159
390	4.178063853
391	4.175896507
392	4.170604324
393	4.167015201
394	4.165463636
395	4.164240107
396	4.162551087
397	4.159187695
398	4.156458664
399	4.154531006
400	4.149094647
401	4.144705809
402	4.141229809
403	4.138516776
404	4.135827648
405	4.134205036
406	4.130090964
407	4.128110656
408	4.125914411
409	4.122421836
410	4.121079085
411	4.119465411
412	4.116861821
413	4.11487197
414	4.111526599
415	4.109040629
416	4.107534501
417	4.104805935
418	4.102578865
419	4.100244687
420	4.099058992
421	4.09809609
422	4.095073609
423	4.092682229
424	4.091633162
425	4.087204154
426	4.083333905
427	4.080905836
428	4.076139035
429	4.072412818
430	4.07070134
431	4.067482713
432	4.06317256
433	4.059619668
434	4.056558586
435	4.052969104
436	4.050933384
437	4.046261303
438	4.044707328
439	4.04305139
440	4.037111616
441	4.034552212
442	4.031587993
443	4.028590201
444	4.025373519
445	4.020668812
446	4.019455463
447	4.017796252
448	4.013585054
449	4.011535289
450	4.008512776
451	4.00526143
452	4.0046524
453	4.003295123
454	4.001988947
455	4.001261182
456	3.997292817
457	3.993747185
458	3.991733633
459	3.98958077
460	3.986305035
461	3.983276973
462	3.980142841
463	3.976707127
464	3.975040483
465	3.973454695
466	3.972603834
467	3.971345386
468	3.969076818
469	3.966822996
470	3.9644003
471	3.962873589
472	3.95944016
473	3.957860468
474	3.953134764
475	3.951879873
476	3.950642162
477	3.949335916
478	3.944980066
479	3.942266661
480	3.939055399
481	3.935996994
482	3.935482274
483	3.935082658
484	3.934608382
485	3.933749743
486	3.930999651
487	3.928014656
488	3.924833155
489	3.921609941
490	3.921241913
491	3.919574455
492	3.918575597
493	3.916861638
494	3.915699519
495	3.912610955
496	3.909798651
497	3.90859245
498	3.905116353
499	3.904021156
500	3.902483396
501	3.899146468
502	3.897872391
503	3.894015455
504	3.893617702
505	3.890828699
506	3.888717738
507	3.886463984
508	3.884881842
509	3.88333427
510	3.882008105
511	3.880680521
512	3.878745446
513	3.875761143
514	3.871798373
515	3.870512147
516	3.867603494
517	3.865672737
518	3.862795341
519	3.858822531
520	3.857420156
521	3.856218953
522	3.852878835
523	3.851537172
524	3.850077152
525	3.844094707
526	3.842398274
527	3.840740281
528	3.839419274
529	3.837858478
530	3.836029954
531	3.833264488
532	3.830875564
533	3.828774021
534	3.826557941
535	3.825620178
536	3.823484332
537	3.822606893
538	3.821463789
539	3.820400958
540	3.819116523
541	3.81489959
542	3.81258749
543	3.808405358
544	3.80492971
545	3.802140429
546	3.798185462
547	3.79658201
548	3.795271546
549	3.793770239
550	3.790754202
551	3.789282475
552	3.785414317
553	3.781974387
554	3.780094404
555	3.777058518
556	3.774079497
557	3.772855833
558	3.771115511
559	3.769922443
560	3.768743145
561	3.765887345
562	3.762735763
563	3.761396571
564	3.758378594
565	3.756181687
566	3.755151337
567	3.752420381
568	3.750695033
569	3.748181368
570	3.746612652
571	3.742763819
572	3.741519451
573	3.738246811
574	3.735457358
575	3.732367386
576	3.73123716
577	3.728285656
578	3.727328118
579	3.72681246
580	3.725513332
581	3.722836261
582	3.720680189
583	3.720273647
584	3.718587176
585	3.717334126
586	3.715553035
587	3.71499289
588	3.714004121
589	3.713225141
590	3.710997331
591	3.708484958
592	3.706285638
593	3.703799873
594	3.700929884
595	3.699843714
596	3.697637942
597	3.696228819
598	3.690748472
599	3.689068632
600	3.687566638
601	3.685074683
602	3.681461158
603	3.67850558
604	3.677935023
605	3.675235194
606	3.674769651
607	3.671977268
608	3.668474354
609	3.664039637
610	3.66102764
611	3.659341164
612	3.658572265
613	3.655309331
614	3.652957849
615	3.649458491
616	3.648023444
617	3.646540164
618	3.644956511
619	3.643588965
620	3.642239651
